tweet_id,type,creation_date,date
1609394342782971905,retweeted,2023-01-01 03:41:27+00:00,2023-01-01
1609395061707390976,retweeted,2023-01-01 03:44:18+00:00,2023-01-01
1609395243165564928,tweet,2023-01-01 03:45:01+00:00,2023-01-01
1609395249943830528,retweeted,2023-01-01 03:45:03+00:00,2023-01-01
1609395635542949888,tweet,2023-01-01 03:46:35+00:00,2023-01-01
1609395799158566913,retweeted,2023-01-01 03:47:14+00:00,2023-01-01
1609395914195476482,retweeted,2023-01-01 03:47:41+00:00,2023-01-01
1609396418996756480,retweeted,2023-01-01 03:49:42+00:00,2023-01-01
1609396468821135362,tweet,2023-01-01 03:49:53+00:00,2023-01-01
1609396557362888704,tweet,2023-01-01 03:50:15+00:00,2023-01-01
1609396642872193024,tweet,2023-01-01 03:50:35+00:00,2023-01-01
1609398090376613890,retweeted,2023-01-01 03:56:20+00:00,2023-01-01
1609398577993842690,tweet,2023-01-01 03:58:16+00:00,2023-01-01
1609399618315644928,tweet,2023-01-01 04:02:24+00:00,2023-01-01
1609399756119486464,retweeted,2023-01-01 04:02:57+00:00,2023-01-01
1609399847739686913,retweeted,2023-01-01 04:03:19+00:00,2023-01-01
1609399872934842373,tweet,2023-01-01 04:03:25+00:00,2023-01-01
1609399876886073345,retweeted,2023-01-01 04:03:26+00:00,2023-01-01
1609399903075049472,retweeted,2023-01-01 04:03:32+00:00,2023-01-01
1609400040585564160,retweeted,2023-01-01 04:04:05+00:00,2023-01-01
1609400211381575681,retweeted,2023-01-01 04:04:46+00:00,2023-01-01
1609400476696711170,retweeted,2023-01-01 04:05:49+00:00,2023-01-01
1609401299069726723,retweeted,2023-01-01 04:09:05+00:00,2023-01-01
1609401782349987840,retweeted,2023-01-01 04:11:00+00:00,2023-01-01
1609401930853548033,tweet,2023-01-01 04:11:36+00:00,2023-01-01
1609401972322443265,retweeted,2023-01-01 04:11:46+00:00,2023-01-01
1609402842724421632,retweeted,2023-01-01 04:15:13+00:00,2023-01-01
1609403332673822722,tweet,2023-01-01 04:17:10+00:00,2023-01-01
1609403699457138691,retweeted,2023-01-01 04:18:37+00:00,2023-01-01
1609403712987873280,retweeted,2023-01-01 04:18:41+00:00,2023-01-01
1609403727747895296,tweet,2023-01-01 04:18:44+00:00,2023-01-01
1609404542453682177,retweeted,2023-01-01 04:21:58+00:00,2023-01-01
1609404792496963585,retweeted,2023-01-01 04:22:58+00:00,2023-01-01
1609406564732964864,retweeted,2023-01-01 04:30:01+00:00,2023-01-01
